feature_ids	4-gran
fig|6666666.95701.peg.4437	0.936421882700838
fig|6666666.95701.peg.4147	0.936175455889601
fig|6666666.95701.peg.733	0.935929029078364
fig|6666666.95701.peg.3916	0.935682602267127
fig|6666666.95701.peg.2491	0.93543617545589
fig|6666666.95701.peg.3019	0.935189748644653
fig|6666666.95701.peg.1487	0.934943321833415
fig|6666666.95701.peg.1994	0.934696895022178
fig|6666666.95701.peg.2042	0.934450468210941
fig|6666666.95701.peg.3602	0.934204041399704
fig|6666666.95701.peg.507	0.933957614588467
fig|6666666.95701.peg.3661	0.93371118777723
fig|6666666.95701.peg.2259	0.933464760965993
fig|6666666.95701.peg.1596	0.933218334154756
fig|6666666.95701.peg.4426	0.932971907343519
fig|6666666.95701.peg.2746	0.932725480532282
fig|6666666.95701.peg.1215	0.932479053721045
fig|6666666.95701.peg.1491	0.932232626909808
fig|6666666.95701.peg.1507	0.931986200098571
fig|6666666.95701.peg.4289	0.931739773287334
fig|6666666.95701.peg.2800	0.931493346476097
fig|6666666.95701.peg.3952	0.93124691966486
fig|6666666.95701.peg.840	0.931000492853623
fig|6666666.95701.peg.79	0.930754066042385
fig|6666666.95701.peg.3948	0.930507639231148
fig|6666666.95701.peg.4283	0.930261212419911
fig|6666666.95701.peg.4203	0.930014785608674
fig|6666666.95701.peg.1009	0.929768358797437
fig|6666666.95701.peg.2349	0.9295219319862
fig|6666666.95701.peg.1640	0.929275505174963
fig|6666666.95701.peg.531	0.929029078363726
fig|6666666.95701.peg.1116	0.928782651552489
fig|6666666.95701.peg.4428	0.928536224741252
fig|6666666.95701.peg.1660	0.928289797930015
fig|6666666.95701.peg.3949	0.928043371118778
fig|6666666.95701.peg.1254	0.927796944307541
fig|6666666.95701.peg.4510	0.927550517496304
fig|6666666.95701.peg.3067	0.927304090685067
fig|6666666.95701.peg.2097	0.927057663873829
fig|6666666.95701.peg.4189	0.926811237062592
fig|6666666.95701.peg.4286	0.926564810251355
fig|6666666.95701.peg.159	0.926318383440118
fig|6666666.95701.peg.1519	0.926071956628881
fig|6666666.95701.peg.196	0.925825529817644
fig|6666666.95701.peg.3604	0.925579103006407
fig|6666666.95701.peg.2111	0.92533267619517
fig|6666666.95701.peg.2196	0.925086249383933
fig|6666666.95701.peg.2900	0.924839822572696
fig|6666666.95701.peg.1256	0.924593395761459
fig|6666666.95701.peg.3004	0.924346968950222
fig|6666666.95701.peg.1823	0.924100542138985
fig|6666666.95701.peg.73	0.923854115327748
fig|6666666.95701.peg.1661	0.923607688516511
fig|6666666.95701.peg.2200	0.923361261705274
fig|6666666.95701.peg.3674	0.923114834894036
fig|6666666.95701.peg.4467	0.922868408082799
fig|6666666.95701.peg.2856	0.922621981271562
fig|6666666.95701.peg.3716	0.922375554460325
fig|6666666.95701.peg.225	0.922129127649088
fig|6666666.95701.peg.2847	0.921882700837851
fig|6666666.95701.peg.4304	0.921636274026614
fig|6666666.95701.peg.234	0.921389847215377
fig|6666666.95701.peg.217	0.92114342040414
fig|6666666.95701.peg.2680	0.920896993592903
fig|6666666.95701.peg.3704	0.920650566781666
fig|6666666.95701.peg.2051	0.920404139970429
fig|6666666.95701.peg.3624	0.920157713159192
fig|6666666.95701.peg.4291	0.919911286347955
fig|6666666.95701.peg.3933	0.919664859536718
fig|6666666.95701.peg.993	0.919418432725481
fig|6666666.95701.peg.4034	0.919172005914243
fig|6666666.95701.peg.346	0.918925579103006
fig|6666666.95701.peg.1000	0.918679152291769
fig|6666666.95701.peg.2743	0.918432725480532
fig|6666666.95701.peg.197	0.918186298669295
fig|6666666.95701.peg.4054	0.917939871858058
fig|6666666.95701.peg.318	0.917693445046821
fig|6666666.95701.peg.420	0.917447018235584
fig|6666666.95701.peg.1020	0.917200591424347
fig|6666666.95701.peg.2350	0.91695416461311
fig|6666666.95701.peg.1728	0.916707737801873
fig|6666666.95701.peg.3658	0.916461310990636
fig|6666666.95701.peg.530	0.916214884179399
fig|6666666.95701.peg.1520	0.915968457368162
fig|6666666.95701.peg.2844	0.915722030556925
fig|6666666.95701.peg.1224	0.915475603745687
fig|6666666.95701.peg.2352	0.91522917693445
fig|6666666.95701.peg.337	0.914982750123213
fig|6666666.95701.peg.2679	0.914736323311976
fig|6666666.95701.peg.344	0.914489896500739
fig|6666666.95701.peg.1993	0.914243469689502
fig|6666666.95701.peg.1524	0.913997042878265
fig|6666666.95701.peg.2792	0.913750616067028
fig|6666666.95701.peg.3269	0.913504189255791
fig|6666666.95701.peg.3364	0.913257762444554
fig|6666666.95701.peg.921	0.913011335633317
fig|6666666.95701.peg.3899	0.91276490882208
fig|6666666.95701.peg.3136	0.912518482010843
fig|6666666.95701.peg.358	0.912272055199606
fig|6666666.95701.peg.3561	0.912025628388369
fig|6666666.95701.peg.1176	0.911779201577132
fig|6666666.95701.peg.4155	0.911532774765895
fig|6666666.95701.peg.821	0.911286347954657
fig|6666666.95701.peg.2165	0.91103992114342
fig|6666666.95701.peg.2790	0.910793494332183
fig|6666666.95701.peg.3913	0.910547067520946
fig|6666666.95701.peg.1803	0.910300640709709
fig|6666666.95701.peg.2128	0.910054213898472
fig|6666666.95701.peg.1918	0.909807787087235
fig|6666666.95701.peg.74	0.909561360275998
fig|6666666.95701.peg.1438	0.909314933464761
fig|6666666.95701.peg.71	0.909068506653524
fig|6666666.95701.peg.3663	0.908822079842287
fig|6666666.95701.peg.2784	0.90857565303105
fig|6666666.95701.peg.120	0.908329226219813
fig|6666666.95701.peg.2429	0.908082799408576
fig|6666666.95701.peg.1734	0.907836372597339
fig|6666666.95701.peg.4432	0.907589945786102
fig|6666666.95701.peg.2836	0.907343518974864
